Event #,Placement,Final,Prelim Time,Time,SwimcloudID,,,,
3,1,A,04:46.74,04:41.61,1335949,,,,
3,2,A,04:49.97,04:47.63,551601,,,,
3,3,A,04:50.03,04:49.01,405004,,,,
3,4,A,04:52.34,04:49.27,1179085,,,,
3,5,A,04:52.96,04:49.39,587296,,,,
3,5,A,04:52.36,04:49.39,1549471,,,,
3,7,A,04:55.20,04:55.31,1505111,,,,
3,8,A,04:54.66,04:58.43,1337845,,,,
3,9,B,04:56.62,04:54.23,632218,,,,
3,10,B,04:55.73,04:55.61,1162289,,,,
3,11,B,04:59.63,04:55.84,806778,,,,
3,12,B,04:55.83,04:57.32,1498085,,,,
3,13,B,05:01.80,04:57.58,856931,,,,
3,14,B,04:57.85,04:58.51,1821664,,,,
3,15,B,04:58.00,04:59.08,502981,,,,
3,16,B,04:59.70,05:05.78,1219491,,,,
3,17,C,05:02.92,04:56.93,931142,,,,
3,18,C,05:03.98,05:02.28,568648,,,,
3,19,C,05:02.86,05:02.60,405030,,,,
3,20,C,05:04.09,05:03.16,1337591,,,,
3,21,C,05:04.31,05:03.66,632217,,,,
3,22,C,05:04.48,05:03.99,1261548,,,,
3,23,C,05:05.83,05:04.94,1366123,,,,
3,24,C,05:04.40,05:06.58,739689,,,,
4,1,A,04:20.74,04:18.23,1358787,,,,
4,2,A,04:24.22,04:19.93,661103,,,,
4,3,A,04:23.45,04:21.83,1163645,,,,
4,4,A,04:20.35,04:22.08,503883,,,,
4,5,A,04:25.28,04:23.01,681031,,,,
4,6,A,04:25.28,04:23.76,1383726,,,,
4,7,A,04:25.84,04:23.93,1811182,,,,
4,8,A,04:20.02,04:27.18,774387,,,,
4,9,B,04:26.58,04:24.17,1492859,,,,
4,10,B,04:29.93,04:24.91,1509152,,,,
4,11,B,04:28.84,04:25.23,507362,,,,
4,12,B,04:29.57,04:25.52,587238,,,,
4,13,B,04:28.61,04:26.90,1623924,,,,
4,14,B,04:28.80,04:28.18,1905188,,,,
4,15,B,04:26.32,04:29.46,1762044,,,,
4,16,B,04:26.66,04:30.62,876382,,,,
4,17,C,04:32.08,04:26.87,506151,,,,
4,18,C,04:34.35,04:28.91,1166797,,,,
4,19,C,04:31.44,04:30.94,1745669,,,,
4,20,C,04:32.34,04:32.82,628902,,,,
4,21,C,04:32.86,04:32.95,1131132,,,,
4,22,C,04:34.08,04:33.26,1414856,,,,
4,23,C,04:33.38,04:34.67,1394912,,,,
4,24,C,04:33.86,04:36.58,551401,,,,
5,1,A,01:57.69,01:57.10,555726,,,,
5,2,A,01:58.91,01:58.28,1510390,,,,
5,3,A,01:59.20,02:00.03,1149756,,,,
5,4,A,02:01.55,02:00.53,1481344,,,,
5,5,A,02:01.76,02:01.05,1155423,,,,
5,6,A,02:02.18,02:02.17,526474,,,,
5,7,A,02:02.86,02:03.00,509539,,,,
5,8,A,02:02.82,02:03.30,1331855,,,,
5,9,B,02:03.13,01:59.52,1334483,,,,
5,10,B,02:03.05,02:02.86,1621780,,,,
5,11,B,02:03.07,02:03.28,508351,,,,
5,12,B,02:03.31,02:03.41,1427766,,,,
5,13,B,02:04.13,02:04.20,1368540,,,,
5,14,B,02:04.22,02:04.39,400014,,,,
5,15,B,02:02.99,02:04.54,1487042,,,,
5,16,B,02:04.79,02:05.14,1143477,,,,
5,17,C,02:05.26,02:04.17,1504262,,,,
5,18,C,02:05.73,02:04.71,1821664,,,,
5,19,C,02:05.84,02:04.90,1336551,,,,
5,20,C,02:06.55,02:05.27,1805604,,,,
5,21,C,02:05.48,02:05.31,1309776,,,,
5,22,C,02:06.54,02:05.87,1285391,,,,
5,23,C,02:07.39,02:07.14,1502051,,,,
5,24,C,02:06.24,02:07.62,1502051,,,,
6,1,A,01:44.26,01:42.84,1188574,,,,
6,2,A,01:45.42,01:44.49,418396,,,,
6,3,A,01:48.53,01:46.84,1541585,,,,
6,4,A,01:46.74,01:47.85,418177,,,,
6,5,A,01:48.05,01:48.10,1509152,,,,
6,6,A,01:48.48,01:48.15,1176482,,,,
6,7,A,01:48.07,01:48.55,1498503,,,,
6,8,A,01:49.02,01:49.53,1506273,,,,
6,9,B,01:49.13,01:47.18,405119,,,,
6,10,B,01:49.45,01:48.57,1344185,,,,
6,11,B,01:50.67,01:48.99,1280679,,,,
6,12,B,01:49.90,01:49.26,1383726,,,,
6,13,B,01:51.29,01:50.98,1455836,,,,
6,14,B,01:51.04,01:51.46,1186989,,,,
6,15,B,01:50.47,01:52.04,1473326,,,,
6,16,B,01:50.04,01:52.09,1154958,,,,
6,17,C,01:51.64,01:50.21,541719,,,,
6,18,C,01:53.09,01:50.98,664732,,,,
6,19,C,01:51.29,01:51.19,665032,,,,
6,20,C,01:53.95,01:52.60,1739909,,,,
6,21,C,01:53.19,01:52.92,2348960,,,,
6,22,C,01:53.49,01:53.02,506151,,,,
6,23,C,01:52.97,01:54.29,1302781,,,,
6,24,C,01:54.34,01:54.71,1338880,,,,
7,1,A,00:22.63,00:22.54,2086103,,,,
7,2,A,00:22.68,00:22.63,510742,,,,
7,3,A,00:22.83,00:22.97,678189,,,,
7,4,A,00:23.20,00:23.08,1274368,,,,
7,5,A,00:23.21,00:23.22,2348174,,,,
7,6,A,00:22.95,00:23.45,1481344,,,,
7,7,A,00:23.19,00:23.48,1487042,,,,
7,8,A,00:23.26,00:23.58,1834985,,,,
7,9,B,00:23.36,00:23.27,375968,,,,
7,10,B,00:23.60,00:23.31,1759071,,,,
7,11,B,00:23.50,00:23.41,2944247,,,,
7,12,B,00:23.55,00:23.45,1335017,,,,
7,13,B,00:23.48,00:23.60,508351,,,,
7,14,B,00:23.62,00:23.66,504092,,,,
7,15,B,00:23.78,00:24.00,542324,,,,
7,16,B,00:23.40,00:24.10,509670,,,,
7,17,C,00:23.83,00:23.48,2212092,,,,
7,18,C,00:23.88,00:23.80,1335227,,,,
7,19,C,00:23.99,00:23.80,520164,,,,
